iter	Logloss
0	0.6389677446
1	0.6053901924
2	0.5800980788
3	0.5510268997
4	0.5340712411
5	0.5219798664
6	0.5074422648
7	0.4951643053
8	0.4850712032
9	0.4780553881
10	0.4696316562
11	0.4626731034
12	0.4575308496
13	0.4522342891
14	0.4480286064
15	0.4440629561
16	0.4393771245
17	0.4353510259
18	0.4329203931
19	0.4292169089
20	0.423784235
21	0.4212093982
22	0.4193105174
23	0.4174567422
24	0.4155782343
25	0.4139267638
26	0.4123416523
27	0.4110888387
28	0.4097037682
29	0.4086807586
30	0.4069942852
31	0.404197106
32	0.402620085
33	0.4015214103
34	0.4004410964
35	0.3979207133
36	0.3962434622
37	0.394620078
38	0.3936282986
39	0.3927018721
40	0.3917203212
41	0.3910530426
42	0.3900569035
43	0.3894804231
44	0.3888255947
45	0.3880480253
46	0.3873565171
47	0.386843587
48	0.3862175994
49	0.3847254659
50	0.3837061033
51	0.38225983
52	0.3817067408
53	0.3804915292
54	0.3799171867
55	0.3795039418
56	0.3789874066
57	0.3786930462
58	0.3779446948
59	0.3773497697
60	0.3764425005
61	0.3756288801
62	0.3746346275
63	0.3743393447
64	0.3738933605
65	0.3731966962
66	0.3728015187
67	0.3720435258
68	0.371050908
69	0.370470068
70	0.3696489439
71	0.3687214694
72	0.3682196481
73	0.3675847735
74	0.3669959267
75	0.3660742791
76	0.365750491
77	0.3652388185
78	0.3649688972
79	0.3643589229
80	0.3639728001
81	0.3633294577
82	0.3622982319
83	0.3619028448
84	0.3613156329
85	0.3604485229
86	0.3599780575
87	0.3591685452
88	0.3585593255
89	0.3579068027
90	0.3572987567
91	0.3568986746
92	0.3562699203
93	0.3559902317
94	0.3550972991
95	0.3547296629
96	0.3543203584
97	0.3539766165
98	0.3533490359
99	0.3527469845
100	0.3520968091
101	0.3517134111
102	0.3512206654
103	0.3506863982
104	0.3498008854
105	0.3489274455
106	0.3481074952
107	0.3473440317
108	0.346230727
109	0.3459893111
110	0.3450650226
111	0.3437387236
112	0.3435349936
113	0.3426738781
114	0.3423517877
115	0.3418586438
116	0.34138057
117	0.3401806381
118	0.3397280096
119	0.3391701206
120	0.3384393964
121	0.3375249381
122	0.337015676
123	0.3363160353
124	0.3355444814
125	0.3350619641
126	0.3342900957
127	0.3342466878
128	0.3333699153
129	0.3328877963
130	0.3321139996
131	0.3316406837
132	0.3314188234
133	0.3309578529
134	0.3308081155
135	0.3303707249
136	0.3299452604
137	0.3291659932
138	0.3284308046
139	0.3280896617
140	0.3276582655
141	0.3270782848
142	0.3266756037
143	0.3263741797
144	0.3255482139
145	0.3251734094
146	0.3244676695
147	0.323684357
148	0.3231760381
149	0.3226220686
150	0.3219980932
151	0.3216324691
152	0.3211385706
153	0.3207752521
154	0.319951005
155	0.3189799131
156	0.3186521425
157	0.3182892013
158	0.3180371798
159	0.3175273937
160	0.3171888917
161	0.3165812859
162	0.3159778721
163	0.3152407133
164	0.3145627871
165	0.3138384347
